Timestamp,Concentration of Active Ingredient,Pressure,pH Level
2025-02-25 06:55:00,0.53,2.5,7.0
2025-02-25 07:05:00,0.54,2.65,7.02
2025-02-25 07:15:00,0.5700000000000001,2.8,7.05
2025-02-25 07:25:00,0.5900000000000001,2.94,7.07
2025-02-25 07:35:00,0.6300000000000001,3.08,7.1
2025-02-25 07:45:00,0.6700000000000002,3.22,7.12
2025-02-25 07:55:00,0.6800000000000002,3.35,7.15
2025-02-25 08:05:00,0.7000000000000002,3.47,7.17
2025-02-25 08:15:00,0.7400000000000002,3.58,7.19
2025-02-25 08:25:00,0.7700000000000002,3.67,7.22
2025-02-25 08:35:00,0.7900000000000003,3.76,7.24
2025-02-25 08:45:00,0.8200000000000003,3.84,7.26
2025-02-25 08:55:00,0.8500000000000003,3.9,7.28
2025-02-25 09:05:00,0.8900000000000003,3.95,7.3
2025-02-25 09:15:00,0.9100000000000004,3.98,7.32
2025-02-25 09:25:00,0.9300000000000004,4.0,7.34
2025-02-25 09:35:00,0.9700000000000004,4.0,7.36
2025-02-25 09:45:00,0.9900000000000004,3.99,7.38
2025-02-25 09:55:00,1.0300000000000005,3.96,7.39
2025-02-25 10:05:00,1.0800000000000005,3.92,7.41
2025-02-25 10:15:00,1.0900000000000005,3.86,7.42
2025-02-25 10:25:00,1.1200000000000006,3.79,7.43
2025-02-25 10:35:00,1.1600000000000006,3.71,7.45
2025-02-25 10:45:00,1.2000000000000006,3.62,7.46
2025-02-25 10:55:00,1.2100000000000006,3.51,7.47
2025-02-25 11:05:00,1.2300000000000006,3.4,7.47
2025-02-25 11:15:00,1.2700000000000007,3.27,7.48
2025-02-25 11:25:00,1.2800000000000007,3.14,7.49
2025-02-25 11:35:00,1.3300000000000007,3.0,7.49
2025-02-25 11:45:00,1.3400000000000007,2.86,7.5
2025-02-25 11:55:00,1.3600000000000008,2.71,7.5
2025-02-25 12:05:00,1.4000000000000008,2.56,7.5
2025-02-25 12:15:00,1.4400000000000008,2.41,7.5
2025-02-25 12:25:00,1.4700000000000009,2.26,7.5
2025-02-25 12:35:00,1.4900000000000009,2.12,7.5
2025-02-25 12:45:00,1.520000000000001,1.97,7.49
2025-02-25 12:55:00,1.550000000000001,1.84,7.49
2025-02-25 13:05:00,1.590000000000001,1.71,7.48
2025-02-25 13:15:00,1.640000000000001,1.58,7.47
2025-02-25 13:25:00,1.670000000000001,1.47,7.46
2025-02-25 13:35:00,1.690000000000001,1.36,7.45
2025-02-25 13:45:00,1.720000000000001,1.27,7.44
2025-02-25 13:55:00,1.740000000000001,1.19,7.43
2025-02-25 14:05:00,1.7800000000000011,1.13,7.42
2025-02-25 14:15:00,1.8100000000000012,1.07,7.4
2025-02-25 14:25:00,1.8600000000000012,1.03,7.39
2025-02-25 14:35:00,1.8700000000000012,1.01,7.37
2025-02-25 14:45:00,1.9000000000000012,1.0,7.36
2025-02-25 14:55:00,1.9200000000000013,1.01,7.34
2025-02-25 15:05:00,1.9300000000000013,1.03,7.32
2025-02-25 15:15:00,1.9600000000000013,1.06,7.3
2025-02-25 15:25:00,1.9700000000000013,1.11,7.28
2025-02-25 15:35:00,2.0000000000000013,1.17,7.26
2025-02-25 15:45:00,2.0400000000000014,1.25,7.24
2025-02-25 15:55:00,2.070000000000001,1.34,7.21
2025-02-25 16:05:00,2.120000000000001,1.44,7.19
2025-02-25 16:15:00,2.160000000000001,1.55,7.17
2025-02-25 16:25:00,2.190000000000001,1.67,7.14
2025-02-25 16:35:00,2.230000000000001,1.8,7.12
2025-02-25 16:45:00,2.270000000000001,1.94,7.1
2025-02-25 16:55:00,2.290000000000001,2.08,7.07
2025-02-25 17:05:00,2.3400000000000007,2.23,7.05
2025-02-25 17:15:00,2.380000000000001,2.38,7.02
2025-02-25 17:25:00,2.4100000000000006,2.53,7.0
2025-02-25 17:35:00,2.4500000000000006,2.67,6.97
2025-02-25 17:45:00,2.4900000000000007,2.82,6.95
2025-02-25 17:55:00,2.5400000000000005,2.97,6.92
2025-02-25 18:05:00,2.5600000000000005,3.11,6.9
2025-02-25 18:15:00,2.5800000000000005,3.24,6.87
2025-02-25 18:25:00,2.6100000000000003,3.37,6.85
2025-02-25 18:35:00,2.6300000000000003,3.49,6.82
2025-02-25 18:45:00,2.66,3.59,6.8
2025-02-25 18:55:00,2.68,3.69,6.78
2025-02-25 19:05:00,2.72,3.78,6.76
2025-02-25 19:15:00,2.74,3.85,6.74
2025-02-25 19:25:00,2.7800000000000002,3.91,6.71
2025-02-25 19:35:00,2.8000000000000003,3.95,6.69
2025-02-25 19:45:00,2.83,3.98,6.67
2025-02-25 19:55:00,2.87,4.0,6.66
2025-02-25 20:05:00,2.9,4.0,6.64
2025-02-25 20:15:00,2.94,3.98,6.62
2025-02-25 20:25:00,2.9499999999999997,3.95,6.61
2025-02-25 20:35:00,2.9999999999999996,3.91,6.59
2025-02-25 20:45:00,3.0299999999999994,3.85,6.58
2025-02-25 20:55:00,3.039999999999999,3.78,6.56
2025-02-25 21:05:00,3.079999999999999,3.7,6.55
2025-02-25 21:15:00,3.109999999999999,3.6,6.54
2025-02-25 21:25:00,3.139999999999999,3.49,6.53
2025-02-25 21:35:00,3.1699999999999986,3.38,6.52
2025-02-25 21:45:00,3.1899999999999986,3.25,6.52
2025-02-25 21:55:00,3.2099999999999986,3.12,6.51
2025-02-25 22:05:00,3.2399999999999984,2.98,6.51
2025-02-25 22:15:00,3.2899999999999983,2.83,6.5
